ID      CODIGO    MOEDA    VENCIMENTO    TIPOCONTA    SITUACAO    DESCRICAO                                                                                                VALOR       
====    ======    =====    ==========    =========    ========    =====================================================================================================    ========    
1       1         1        05/10/2003    23           1           Enalta                                                                                                   734         
1       2         1        09/10/2003    29           1           Aliança - 3/3                                                                                            80          
1       3         1        06/11/2003    20           1           Cheque do mês passado                                                                                    84,5        
1       4         1        09/10/2003    29           1           Móveis - 4/5                                                                                             60          
1       5         1        08/10/2003    1            1           Conta atrasada do mês passado                                                                            60          
1       6         1        05/11/2003    23           1           Enalta                                                                                                   684         
1       7         1        06/10/2003    29           1           Marabraz - 5/5                                                                                           18          
1       8         1        06/10/2003    11           1           Conserto TV Dri                                                                                          20          
1       9         1        06/10/2003    28           1           Dri                                                                                                      50          
1       10        1        05/10/2003    12           1           Churrascaria Trevo                                                                                       32          
1       11        1        08/10/2003    12           1           CIT                                                                                                      23          
1       12        1        10/10/2003    1            1           Celular                                                                                                  18,5        
1       13        1        05/12/2003    23           1           Enalta                                                                                                   714         
1       14        1        20/10/2003    32           1           Casamento Josi                                                                                           38          
1       15        1        15/10/2003    12           1           Conta Tapetes                                                                                            37,4000015258789    
1       16        1        18/10/2003    4            1                                                                                                                    112         
1       17        1        18/10/2003    5            1                                                                                                                    6           
1       18        1        18/10/2003    7            1           Seguro Residencial                                                                                       10,5        
1       19        1        18/10/2003    1            1           Telefone, Assinatura e Speedy                                                                            50          
1       20        1        18/10/2003    2            1           <null>                                                                                                   5           
1       21        1        18/10/2003    3            1           <null>                                                                                                   45          
1       22        1        18/10/2003    8            1           Terra Networks S/A                                                                                       12          
1       23        1        18/10/2003    11           1           Compras da Casa                                                                                          25          
1       24        1        09/11/2003    29           1           Móveis - 5/5                                                                                             60          
1       25        1        15/01/2004    5            1           <null>                                                                                                   6,25        
1       26        1        10/12/2003    1            1           Celular                                                                                                  16          
1       27        1        10/12/2003    12           1           Pizza                                                                                                    8,5         
1       28        1        10/11/2003    1            1           Celular                                                                                                  21,0400009155273    
1       29        1        11/12/2003    12           1           Churrascaria Trevo - Bloco 21                                                                            18          
1       30        1        15/11/2003    21           1           Passe escolar                                                                                            17,5        
1       31        1        18/11/2003    7            1           Seguro Residencial                                                                                       10,5        
1       32        1        18/12/2003    7            1           Seguro Residencial                                                                                       0           
1       33        1        18/11/2003    1            1           Telefone, Assinatura e Speedy                                                                            47,5        
1       34        1        18/12/2003    1            1           Telefone, Assinatura e Speedy                                                                            43          
1       35        1        18/11/2003    4            1                                                                                                                    112         
1       36        1        18/12/2003    4            1                                                                                                                    0           
1       37        1        18/11/2003    12           1           Compras da Casa                                                                                          1,39999997615814    
1       38        1        18/12/2003    12           1           Compras da Casa                                                                                          90          
1       39        1        18/11/2003    5            1                                                                                                                    6,25        
1       40        1        18/12/2003    5            1                                                                                                                    0           
1       41        1        18/11/2003    8            1           Terra Networks S/A                                                                                       10          
1       42        1        18/12/2003    8            1           Terra Networks S/A                                                                                       10          
1       43        1        18/11/2003    2            1                                                                                                                    4,40000009536743    
1       44        1        18/12/2003    2            1                                                                                                                    0           
1       45        1        18/11/2003    3            1                                                                                                                    32,7999992370605    
1       46        1        18/12/2003    3            1                                                                                                                    27,5        
1       47        1        08/12/2003    21           1           Passe escolar                                                                                            17,5        
1       48        1        19/12/2003    23           1           Vale - Enalta                                                                                            100         
1       49        1        10/02/2003    26           1           CD-R/DVD - 2/5                                                                                           64          
